Year,Round,Team1,Team2,Team1_Seed,Team2_Seed,SeedDiff,Team1_AdjEM,Team2_AdjEM,Team1_AdjO,Team2_AdjO,Team1_AdjD,Team2_AdjD,Team1_AdjT,Team2_AdjT,Team1_Luck,Team2_Luck,Team1_SOS,Team2_SOS,Team1_NCSOS,Team2_NCSOS,Team1_KenPomRank,Team2_KenPomRank,Team1_ELO,Team2_ELO,Team1_Q1Wins,Team2_Q1Wins,Team1_Won,Team1_OffenseRating,Team2_OffenseRating,Team1_DefenseRating,Team2_DefenseRating
2018,Round16,Syracuse,Michigan St.,11,3,8,13.5929,26.3461,107.705,119.983,94.1122,93.6364,63.3993,67.1449,0.0,0.0,0.0,0.0,0.0,0.0,54,6,75,6,4,3,1,2.273100068,15.98576908,9.682660478,11.03970778
2018,Round16,Michigan St.,Syracuse,3,11,-8,26.3461,13.5929,119.983,107.705,93.6364,94.1122,67.1449,63.3993,0.0,0.0,0.0,0.0,0.0,0.0,6,54,6,75,3,4,0,15.98576908,2.273100068,11.03970778,9.682660478
2018,Round8,Duke,Rhode Island,2,7,-5,29.1348,14.3818,122.602,111.71,93.467,97.328,70.0021,68.6547,0.0,0.0,0.0,0.0,0.0,0.0,3,49,12,32,6,2,1,16.67680698,6.33870612,11.65475149,7.990747747
2018,Round8,Rhode Island,Duke,7,2,5,14.3818,29.1348,111.71,122.602,97.328,93.467,68.6547,70.0021,0.0,0.0,0.0,0.0,0.0,0.0,49,3,32,12,2,6,0,6.33870612,16.67680698,7.990747747,11.65475149
2018,Round8,Kansas St.,Kentucky,9,5,4,14.7543,20.4069,112.178,116.426,97.4236,96.019,65.5437,68.5818,0.0,0.0,0.0,0.0,0.0,0.0,44,18,31,16,4,5,1,5.163970604,11.03344146,7.381096921,9.084428578
2018,Round8,Kentucky,Kansas St.,5,9,-4,20.4069,14.7543,116.426,112.178,96.019,97.4236,68.5818,65.5437,0.0,0.0,0.0,0.0,0.0,0.0,18,44,16,31,5,4,0,11.03344146,5.163970604,9.084428578,7.381096921
2018,E8,Loyola Chicago,Nevada,11,7,4,15.1402,18.1814,111.331,119.901,96.1911,101.72,65.3221,69.4886,0.0,0.0,0.0,0.0,0.0,0.0,41,24,14,20,1,2,1,5.487862172,12.79739622,6.614882655,2.877351665
2018,E8,Nevada,Loyola Chicago,7,11,-4,18.1814,15.1402,119.901,111.331,101.72,96.1911,69.4886,65.3221,0.0,0.0,0.0,0.0,0.0,0.0,24,41,20,14,2,1,0,12.79739622,5.487862172,2.877351665,6.614882655
2018,Round8,Florida St.,Gonzaga,9,4,5,15.8239,24.7352,115.822,119.824,99.9984,95.0891,71.6051,68.9851,0.0,0.0,0.0,0.0,0.0,0.0,35,8,58,8,6,5,1,10.64365008,14.24633926,5.68896564,9.70273739
2018,Round8,Gonzaga,Florida St.,4,9,-5,24.7352,15.8239,119.824,115.822,95.0891,99.9984,68.9851,71.6051,0.0,0.0,0.0,0.0,0.0,0.0,8,35,8,58,5,6,0,14.24633926,10.64365008,9.70273739,5.68896564
2018,R32,Michigan,Texas A&M,3,7,-4,23.1909,16.9086,115.9,111.204,92.7095,94.2949,64.3592,69.0256,0.0,0.0,0.0,0.0,0.0,0.0,10,30,5,47,6,6,1,11.20616286,6.759062287,10.69681947,10.08796499
