Year,Round,GameID,WinningTeam,WinningSeed,WinningScore,LosingTeam,LosingSeed,LosingScore,ScoreDiff
2012,E8,778,Ohio St.,2,81.0,Cincinnati,6,66.0,15.0
2012,Round8,779,North Carolina,1,73.0,Ohio,13,65.0,8.0
2012,R32,780,Kansas,2,60.0,North Carolina St.,11,57.0,3.0
2012,R64,781,Kentucky,1,82.0,Baylor,3,70.0,12.0
2012,E8,782,Louisville,4,72.0,Florida,7,68.0,4.0
2012,E8,783,Ohio St.,2,77.0,Syracuse,1,70.0,7.0
2012,R32,784,Kansas,2,80.0,North Carolina,1,67.0,13.0
2012,R64,785,Kentucky,1,69.0,Louisville,4,61.0,8.0
2012,R32,786,Kansas,2,64.0,Ohio St.,2,62.0,2.0
2012,R64,787,Kentucky,1,67.0,Kansas,2,59.0,8.0
2013,R64,662,Louisville,1,79.0,North Carolina A&T,16,48.0,31.0
2013,Round32,663,Colorado St.,8,84.0,Missouri,9,72.0,12.0
2013,Round16,664,Oregon,12,68.0,Oklahoma St.,5,55.0,13.0
2013,Round32,665,Saint Louis,4,64.0,New Mexico St.,13,44.0,20.0
2013,Round32,666,Memphis,6,54.0,Saint Mary's,11,52.0,2.0
2013,Round16,667,Michigan St.,3,65.0,Valparaiso,14,54.0,11.0
2013,Round32,668,Creighton,7,67.0,Cincinnati,10,63.0,4.0
2013,Round8,669,Duke,2,73.0,Albany,15,61.0,12.0
2013,Round32,670,Gonzaga,1,64.0,Southern,16,58.0,6.0
2013,E8,671,Wichita St.,9,73.0,Pittsburgh,8,55.0,18.0
2013,Round32,672,Mississippi,12,57.0,Wisconsin,5,46.0,11.0
2013,Round16,673,La Salle,13,63.0,Kansas St.,4,61.0,2.0
2013,Round16,674,Arizona,6,81.0,Belmont,11,64.0,17.0
2013,Round32,675,Harvard,14,68.0,New Mexico,3,62.0,6.0
2013,Round32,676,Iowa St.,10,76.0,Notre Dame,7,58.0,18.0
2013,Round8,677,Ohio St.,2,95.0,Iona,15,70.0,25.0
2013,Round16,678,Kansas,1,64.0,Western Kentucky,16,57.0,7.0
2013,Round32,679,North Carolina,8,78.0,Villanova,9,71.0,7.0
2013,Round32,680,VCU,5,88.0,Akron,12,42.0,46.0
2013,R32,681,Michigan,4,71.0,South Dakota St.,13,56.0,15.0
2013,Round32,682,Minnesota,11,83.0,UCLA,6,63.0,20.0
2013,Round8,683,Florida,3,79.0,Northwestern St.,14,47.0,32.0
2013,Round32,684,San Diego St.,7,70.0,Oklahoma,10,55.0,15.0
2013,Round16,685,Florida Gulf Coast,15,78.0,Georgetown,2,68.0,10.0
2013,Round16,686,Indiana,1,83.0,James Madison,16,62.0,21.0
2013,Round32,687,Temple,9,76.0,North Carolina St.,8,72.0,4.0
2013,Round32,688,California,12,64.0,UNLV,5,61.0,3.0
2013,E8,689,Syracuse,4,81.0,Montana,13,34.0,47.0
2013,Round32,690,Butler,6,68.0,Bucknell,11,56.0,12.0
2013,Round8,691,Marquette,3,59.0,Davidson,14,58.0,1.0
2013,Round32,692,Illinois,7,57.0,Colorado,10,49.0,8.0
2013,Round16,693,Miami FL,2,78.0,Pacific,15,49.0,29.0
2013,R64,694,Louisville,1,82.0,Colorado St.,8,56.0,26.0
2013,Round16,695,Oregon,12,74.0,Saint Louis,4,57.0,17.0
2013,Round16,696,Michigan St.,3,70.0,Memphis,6,48.0,22.0
2013,Round8,697,Duke,2,66.0,Creighton,7,50.0,16.0
